Name,Position,Club,Division,Nation,Height,Weight,Age,Preferred_Foot,Best_Pos,Best_Role,Value,Wage,CA,PA,Wor,Vis,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pen,Pas,Pac,v1,OtB,Mar,L_Th,Lon,Ldr,Jum,Hea,Han,Fla,Fir,Fin,Dri,Cro,Cor,Cnt,Cmd,Agi,Agg,Aer,Acc
Jack Grealish,M/AM (RLC),Aston Villa,English Premier Division,ENG,178,64,23,Right,M (L),IW,55000000,60000,163,170,15,16,16,14,9,14,13,3,2,12,15,15,1,14,6,2,15,12,7,11,2,17,15,15,17,14,14,11,1,15,11,2,15
John Stones,D (C),Man City,English Premier Division,ENG,188,72,25,Right,D (C),BPD,37000000,100000,156,170,16,14,14,13,17,13,14,3,1,12,15,15,1,16,14,8,5,13,14,15,1,12,13,8,13,10,5,13,2,15,10,3,13
Lucas Hernández,D (LC),FC Bayern,Bundesliga,FRA,182,76,23,Left,D (L),FB,29500000,225000,151,170,14,10,13,13,17,12,15,1,1,8,12,17,1,10,15,13,7,13,12,14,3,9,12,7,11,11,6,15,4,13,11,4,13
Luka Jovic,ST (C),Eintracht Frankfurt,Bundesliga,SRB,181,79,21,Either,ST (C),P,45000000,165000,156,170,9,12,14,12,5,14,11,2,3,11,12,15,1,18,5,4,10,7,12,15,1,13,14,18,12,11,7,10,2,15,10,1,13
Milan Skriniar,D (C),Inter,Italian Serie A,SVK,187,83,24,Right,D (C),CD,32000000,92000,161,170,17,11,11,15,16,16,16,1,1,10,13,15,1,9,17,11,8,14,15,16,1,6,12,9,10,8,4,12,3,14,17,2,13
Pierre-Emerick Aubameyang,"AM (RL), ST (C)",Arsenal,English Premier Division,GAB,187,80,30,Right,ST (C),AF,65000000,180000,165,170,14,11,14,14,6,12,15,1,4,14,11,18,1,17,5,2,13,12,14,14,3,15,14,17,13,10,5,14,3,15,12,1,19
Radja Nainggolan,M/AM (C),Cagliari,Italian Serie A,BEL,176,77,31,Right,M (C),MEZ,32500000,92000,156,170,17,14,14,14,15,16,13,3,3,10,14,14,1,16,13,3,17,15,9,11,1,13,15,13,12,11,5,12,3,14,18,3,15
Rúben Neves,"DM, M (C)",Wolves,English Premier Division,POR,180,80,22,Right,DM,DLP,35000000,60000,150,170,12,17,16,15,13,11,13,3,2,15,17,11,1,11,11,7,16,13,11,9,1,11,14,9,12,13,14,15,2,13,13,2,11
Sandro Tonali,"DM, M (C)",Milan,Italian Serie A,ITA,181,79,19,Right,DM,DLP,5750000,7750,134,170,16,13,14,14,13,13,13,1,1,8,14,13,1,9,12,6,13,14,11,11,2,13,14,8,14,11,14,13,3,11,16,2,13
Sebastiano Esposito,ST (C),Inter,Italian Serie A,ITA,186,75,16,Right,ST (C),AF,4000000,220,118,170,13,10,12,11,4,11,12,2,2,14,11,14,1,13,3,2,13,6,14,12,2,12,13,13,12,8,12,11,2,14,10,2,13
Serge Gnabry,"M/AM (RL), ST (C)",FC Bayern,Bundesliga,GER,173,73,23,Either,AM (L),IF,60000000,115000,165,170,13,13,14,10,5,13,13,3,1,10,13,17,1,16,5,8,14,5,8,9,2,15,14,15,16,12,10,12,3,14,13,3,17
Tanguy Ndombele,"DM, M (C)",Tottenham,English Premier Division,FRA,181,76,22,Right,M (C),DLP,29500000,120000,145,170,16,14,15,15,13,16,14,4,3,7,16,15,1,14,13,4,8,10,10,10,2,15,16,7,15,8,6,12,3,14,13,4,15
Toby Alderweireld,D (RC),Tottenham,English Premier Division,BEL,187,91,30,Either,D (C),BPD,36500000,150000,154,170,14,13,13,15,16,16,14,1,2,8,15,11,1,10,13,12,9,12,14,16,1,10,14,9,12,10,7,14,2,12,13,1,12
Youri Tielemans,M/AM (C),Leicester,English Premier Division,BEL,176,72,22,Right,M (C),DLP,42500000,120000,154,170,15,17,16,14,11,10,13,2,3,14,17,11,1,14,11,3,14,14,8,9,1,15,16,12,13,13,14,12,2,14,11,3,13
Alejandro Pozo,"D/WB (R), M/AM (RL)",Eibar,Spanish First Division,ESP,174,59,20,Right,AM (R),W,800000,15250,118,169,11,8,11,10,3,4,11,1,1,10,8,14,1,10,1,4,9,9,3,2,1,14,10,9,12,10,9,10,3,14,10,3,15
Alessandro Bastoni,D (C),Inter,Italian Serie A,ITA,190,75,20,Left,D (C),BPD,22500000,9250,151,169,14,12,13,16,14,15,15,1,3,8,14,14,1,11,15,8,5,12,16,15,1,11,13,8,11,8,6,13,1,14,14,1,13
Alex Meret,GK,Napoli,Italian Serie A,ITA,190,80,22,Left Only,GK,SK,16750000,30500,148,169,14,6,8,14,1,13,13,15,17,4,10,12,1,3,2,1,1,10,16,6,16,3,9,2,3,1,5,13,13,18,8,14,11
Cristian Romero,D (C),Genoa,Italian Serie A,ARG,185,79,21,Right,D (C),CD,7250000,27500,134,169,17,8,11,14,14,14,14,2,2,8,11,12,1,10,15,4,5,11,14,16,2,11,12,5,7,6,5,13,1,12,14,2,12
David De la Víbora,D/WB/M (L),R. Madrid,Spanish First Division,ESP,168,55,16,Left,D (L),CWB,14000,300,71,169,9,9,9,8,9,1,10,2,1,3,9,14,1,6,6,5,5,6,4,7,2,6,13,4,9,8,7,6,1,14,7,3,14
Diego Godín,D (C),Inter,Italian Serie A,URU,186,79,33,Right,D (C),CD,11750000,125000,155,169,18,8,10,15,16,14,13,4,2,10,12,12,1,9,17,9,7,16,15,18,2,6,10,10,10,6,4,16,3,9,14,2,10
Dominik Szoboszlai,"M (LC), AM (C)",RB Leipzig,Bundesliga,HUN,185,77,18,Right,M (C),MEZ,11750000,46500,140,169,14,13,13,14,9,11,13,2,4,11,14,17,1,14,8,5,12,9,13,9,1,11,13,10,13,13,15,13,2,12,8,1,15
Ibañez,"D (C), DM",Roma,Italian Serie A,BRA,185,73,20,Right Only,D (C),BPD,7750000,7750,145,169,15,11,13,13,17,13,14,1,2,6,14,15,1,7,15,6,7,9,13,15,1,11,12,7,12,7,4,13,1,13,15,2,14
Ilaix Moriba,"DM, M/AM (C)",Barcelona,Spanish First Division,GUI,185,68,16,Right,M (C),AP,3200000,11000,125,169,9,14,16,11,9,12,13,3,3,11,13,14,1,12,8,3,14,11,13,11,1,17,15,13,14,9,8,11,2,14,13,1,13
Jonathan Tah,D (C),Bayer 04,Bundesliga,GER,192,90,23,Right,D (C),BPD,21500000,49500,147,169,8,10,12,15,15,18,13,2,3,8,13,17,1,6,15,12,5,10,17,11,1,7,13,6,9,10,5,12,3,11,7,2,12
Justin Kluivert,M/AM (RL),RB Leipzig,Bundesliga,NED,172,66,20,Either,AM (L),IW,14500000,55000,142,169,12,11,16,10,5,8,11,3,1,10,13,16,1,12,3,3,12,7,7,7,3,17,15,11,17,10,9,10,3,17,14,2,18
Koke,M (RLC),A. Madrid,Spanish First Division,ESP,178,73,27,Right,M (C),DLP,54000000,275000,163,169,16,15,14,17,14,12,15,3,2,10,16,13,1,15,13,6,14,14,9,9,1,10,15,12,13,15,16,17,4,13,14,2,13
Lorenzo Insigne,"M (L), AM (LC), ST (C)",Napoli,Italian Serie A,ITA,163,59,28,Right,AM (L),IW,53000000,140000,161,169,12,17,17,14,5,5,14,2,1,15,17,14,1,16,5,3,13,15,3,6,2,18,18,13,15,15,14,11,1,18,10,1,17
Lorenzo Pellegrini,M/AM (C),Roma,Italian Serie A,ITA,185,82,23,Either,M (C),AP,36500000,61000,155,169,15,17,16,17,10,11,14,2,3,11,15,12,1,16,10,3,12,12,11,12,2,16,16,10,14,16,17,13,2,14,13,4,13
Merih Demiral,D (C),Juventus,Italian Serie A,TUR,192,85,21,Right Only,D (C),CD,20000000,55000,148,169,15,8,11,16,16,17,14,3,1,5,11,13,1,10,16,8,6,13,17,15,2,6,9,7,6,5,5,14,1,11,16,2,13
Saúl,"DM, M (RC)",A. Madrid,Spanish First Division,ESP,184,76,24,Left,M (C),AP,45000000,205000,158,169,14,16,16,14,14,12,14,4,3,12,16,14,1,15,13,7,12,13,13,15,1,15,15,13,15,12,13,17,4,13,8,2,13
Samuel Umtiti,D (C),Barcelona,Spanish First Division,FRA,182,75,25,Left,D (C),BPD,47000000,200000,159,169,15,10,14,16,16,15,15,2,4,8,14,15,1,9,16,9,10,10,11,14,1,8,14,6,10,10,4,16,3,13,14,2,14
Takefusa Kubo,"M (R), AM (C), ST (C)",Getafe,Spanish First Division,JPN,167,60,18,Left,AM (C),AM,3400000,19750,125,169,11,15,15,11,6,8,11,1,1,8,15,11,1,14,6,7,11,7,7,7,3,15,15,13,15,12,11,13,3,13,8,2,14
Weston McKennie,"DM, M (C)",Juventus,Italian Serie A,USA,185,84,20,Right,M (C),BBM,19000000,41500,150,169,17,12,12,16,15,15,16,2,3,9,15,14,1,14,12,17,9,13,14,15,1,13,13,9,11,10,9,12,1,13,17,3,14
Wojciech Szczesny,GK,Juventus,Italian Serie A,POL,195,90,29,Right,GK,SK,42000000,210000,163,169,12,10,6,10,2,15,11,16,17,8,11,12,1,4,3,1,1,8,18,3,18,7,7,2,2,3,6,12,15,16,15,16,10
Faustino Anjorin,M/AM (C),Chelsea,English Premier Division,ENG,185,81,17,Right,AM (C),SS,0,1500,101,169,11,10,10,8,7,14,16,3,3,8,9,14,1,8,6,10,13,10,12,7,1,14,10,14,8,9,7,8,3,9,10,1,15
Alex Sandro,D/WB/M (L),Juventus,Italian Serie A,BRA,180,80,28,Left,D (L),CWB,46500000,155000,162,168,14,12,16,14,16,16,15,3,2,9,14,15,1,15,12,13,11,7,12,14,1,14,16,12,14,14,12,11,1,15,11,2,15
Alexander Nübel,GK,FC Bayern,Bundesliga,GER,193,85,22,Right,GK,SK,15000000,91000,140,168,13,9,11,16,3,13,10,17,16,5,12,10,1,2,3,3,3,10,15,7,11,1,11,3,1,2,4,12,15,15,8,14,13
Alphonso Davies,"D/WB (L), M/AM (RL)",FC Bayern,Bundesliga,CAN,181,72,18,Left Only,D (L),WB,8750000,33000,152,168,14,11,13,13,10,10,14,1,2,10,11,18,1,13,9,9,11,10,7,5,1,14,14,9,13,12,8,10,2,17,15,1,19
Benjamin Pavard,D (RC),FC Bayern,Bundesliga,FRA,186,76,23,Right,D (C),BPD,34000000,115000,148,168,10,13,14,15,16,13,14,3,2,10,14,14,1,7,14,11,11,11,14,13,1,9,12,7,10,10,5,12,3,11,8,3,11
Dani Olmo,M/AM (LC),RB Leipzig,Bundesliga,ESP,179,68,21,Right,AM (C),AP,22000000,66000,152,168,13,17,16,15,10,10,15,1,3,11,15,14,1,16,8,4,13,8,8,6,1,17,16,13,17,13,14,14,3,14,12,2,12
Diego Laínez,AM (RL),Real Betis,Spanish First Division,MEX,167,58,19,Left,AM (L),W,2900000,7250,124,168,14,11,15,10,5,6,15,3,3,10,13,14,1,13,4,9,7,7,5,5,1,15,11,9,15,11,10,12,2,15,8,1,16
Edin Dzeko,ST (C),Roma,Italian Serie A,BIH,193,94,33,Either,ST (C),TM,16750000,155000,158,168,11,15,15,16,7,18,14,2,2,13,15,13,1,14,4,3,15,12,18,14,2,10,14,17,13,12,6,14,2,11,8,3,10
Fabián,"DM, M (RLC), AM (C)",Napoli,Italian Serie A,ESP,189,70,23,Left,M (C),DLP,39000000,46000,156,168,14,15,15,16,14,12,13,2,2,10,17,14,1,15,10,9,14,10,15,12,3,12,16,12,15,13,8,13,1,12,11,1,13
Fabinho,"D (R), DM, M (C)",Liverpool,English Premier Division,BRA,188,78,25,Right,DM,DLP,54000000,120000,160,168,15,14,14,15,16,15,15,2,3,15,15,14,1,14,15,10,8,12,15,14,1,13,15,8,13,13,7,15,3,14,16,3,14
Federico Chiesa,"M (R), AM (RL), ST (C)",Juventus,Italian Serie A,ITA,175,70,21,Right,AM (R),W,25000000,52000,163,168,18,13,15,11,8,12,15,4,2,11,14,16,1,16,8,5,14,12,10,9,3,14,14,13,17,13,11,13,1,16,16,3,18
Ivan Rakitic,"DM, M/AM (C)",Sevilla,Spanish First Division,CRO,184,78,31,Right,M (C),DLP,43500000,185000,161,168,13,16,16,15,11,14,13,1,1,16,17,14,1,15,9,10,18,14,12,8,2,12,16,13,14,15,18,14,3,11,11,2,12
José Giménez,D (C),A. Madrid,Spanish First Division,URU,185,77,24,Right,D (C),BPD,50000000,96000,161,168,16,11,12,16,16,15,15,1,3,10,12,13,1,10,15,13,8,13,13,16,3,10,12,7,11,10,7,15,3,13,15,1,14
Jules Koundé,D (C),Sevilla,Spanish First Division,FRA,181,70,20,Right,D (C),BPD,25500000,15750,152,168,14,13,13,15,16,14,14,2,1,8,13,14,1,10,15,6,5,12,15,16,1,10,13,8,11,9,4,15,2,15,12,1,14
Patrik Schick,ST (C),Bayer 04,Bundesliga,CZE,190,80,23,Left,ST (C),AF,22500000,75000,140,168,14,14,16,12,7,13,14,1,2,12,12,13,1,14,6,4,14,6,15,14,2,16,17,15,15,10,8,10,2,14,12,3,15
Rafael Leão,"AM (LC), ST (C)",Milan,Italian Serie A,POR,188,81,20,Right,AM (L),IW,17250000,35000,148,168,12,13,15,13,6,14,12,1,3,12,13,16,1,15,4,3,12,8,14,13,2,15,15,13,16,13,4,10,2,15,9,3,16
Ronald Araújo,"D (C), DM",Barcelona,Spanish First Division,URU,191,91,20,Right,D (C),BPD,20000000,3700,149,168,14,15,14,14,16,16,15,3,1,14,16,14,1,14,15,4,12,13,17,16,3,7,13,7,10,6,3,14,3,10,15,2,13
Tariq Lamptey,"D/WB (RL), M (R)",Brighton,English Premier Division,ENG,164,62,18,Right,D (R),WB,24000000,5000,138,168,14,10,11,12,11,6,14,1,2,9,10,16,1,11,7,6,7,8,2,7,2,11,10,8,14,10,6,12,3,16,10,1,20
Thomas Lemar,"M (L), AM (RLC)",A. Madrid,Spanish First Division,FRA,170,58,23,Left,AM (L),W,27000000,105000,150,168,15,15,17,14,6,9,13,4,2,14,16,15,1,14,7,2,13,10,7,6,2,16,16,12,16,15,16,12,2,17,9,3,15
Thomas Müller,"M (R), AM (RC), ST (C)",FC Bayern,Bundesliga,GER,186,74,29,Right,ST (C),PF,57000000,250000,160,168,17,14,12,16,10,10,18,1,3,15,12,14,1,20,7,8,10,11,12,12,1,15,13,15,10,11,7,18,1,13,17,1,12
Victor Osimhen,ST (C),Napoli,Italian Serie A,NGA,185,78,20,Right,ST (C),PF,56000000,125000,150,168,14,11,14,13,8,14,13,1,1,15,12,19,1,18,5,4,12,8,13,13,3,13,14,13,14,9,3,13,3,14,15,2,17
Dayot Upamecano,D (C),RB Leipzig,Bundesliga,FRA,185,83,20,Right,D (C),BPD,16250000,40000,146,167,14,11,11,11,17,17,13,2,4,7,13,18,1,7,16,9,8,9,14,14,1,10,10,6,12,8,4,12,3,12,16,2,15
Federico Bernardeschi,"M (R), AM (RLC)",Juventus,Italian Serie A,ITA,185,77,25,Left,AM (R),IW,41000000,125000,156,167,15,13,17,12,8,14,15,1,3,14,15,15,1,14,7,5,14,11,11,10,3,17,16,12,15,15,14,11,2,15,11,3,15
Giovani Lo Celso,"DM, M (LC), AM (C)",Tottenham,English Premier Division,ARG,176,69,23,Left,AM (C),AP,47000000,100000,157,167,14,17,16,16,12,11,14,3,3,14,17,13,1,16,9,8,13,10,9,10,2,15,16,11,15,15,11,13,1,14,10,1,14
Gonçalo Guedes,"M/AM (RL), ST (C)",Valencia,Spanish First Division,POR,179,68,22,Right,M (L),IW,30000000,95000,145,167,10,12,13,7,7,12,15,4,2,13,13,17,1,14,7,12,15,7,10,8,3,15,12,13,15,12,10,10,3,15,12,3,16
Ilkay Gündogan,"DM, M/AM (C)",Man City,English Premier Division,GER,180,79,28,Right,M (C),DLP,44500000,150000,160,167,14,16,16,16,13,13,15,2,1,15,16,13,1,13,10,6,11,10,9,7,2,13,17,12,14,12,10,14,1,16,15,2,14
Kingsley Coman,M/AM (RL),FC Bayern,Bundesliga,FRA,178,71,23,Right,M (R),W,38000000,135000,153,167,15,12,14,13,7,10,14,3,3,10,12,19,1,12,6,8,11,6,10,8,3,15,14,11,15,13,12,11,2,16,15,2,17
Mikel Oyarzábal,AM (RLC),Real Sociedad,Spanish First Division,ESP,180,77,22,Left,AM (C),AP,40000000,37000,158,167,16,16,16,14,12,14,14,2,1,19,15,13,1,15,13,12,12,17,13,12,2,14,14,15,15,12,14,14,3,14,13,3,13
Nikola Milenkovic,D (RC),Fiorentina,Italian Serie A,SRB,195,90,21,Right,D (C),BPD,15500000,24500,144,167,13,10,11,13,14,14,14,3,1,6,13,14,1,10,15,11,8,11,17,15,1,7,11,10,9,9,3,13,1,13,15,3,12
Pau Torres,D (C),Villarreal,Spanish First Division,ESP,191,80,22,Left,D (C),CD,24000000,13000,154,167,13,9,12,12,16,16,16,1,2,8,13,15,1,6,16,7,7,11,17,16,1,5,13,5,9,8,6,15,2,11,13,2,14
Raúl Moro,"M (R), AM (RC), ST (C)",Lazio,Italian Serie A,ESP,172,60,16,Right,AM (R),W,160000,220,91,167,9,11,12,8,6,6,9,1,1,4,9,13,1,8,7,7,9,9,2,9,4,12,13,11,13,10,7,9,1,13,11,1,13
Sami Khedira,"DM, M (C)",Hertha Berlin,Bundesliga,GER,189,90,32,Right,M (C),CM,26500000,135000,154,167,11,12,14,20,13,16,12,2,3,10,14,11,1,17,15,10,12,12,13,16,3,8,14,13,11,12,4,18,3,11,14,3,9
Reece James,"D/WB (R), M (C)",Chelsea,English Premier Division,ENG,180,87,19,Right,D (R),FB,0,60000,141,167,13,10,13,12,13,15,15,1,1,7,13,14,1,12,12,9,11,13,8,11,2,12,13,7,11,16,13,14,1,12,11,1,15
Alexander Isak,ST (C),Real Sociedad,Spanish First Division,SWE,190,74,19,Right,ST (C),AF,22500000,34000,150,166,11,16,16,12,6,12,14,2,3,14,13,16,1,16,5,6,9,7,16,12,3,16,15,14,15,9,7,11,3,15,11,2,17
Dries Mertens,"AM (RLC), ST (C)",Napoli,Italian Serie A,BEL,169,61,32,Right,ST (C),AF,18500000,125000,155,166,13,15,16,13,5,8,12,2,3,16,14,15,1,18,4,3,13,13,6,7,2,16,15,17,13,15,14,12,1,17,12,3,16
Joe Gomez,D (RLC),Liverpool,English Premier Division,ENG,188,87,22,Right,D (C),BPD,40500000,75000,154,166,14,8,14,14,15,15,15,2,3,5,14,16,1,10,14,14,5,10,15,15,3,9,15,5,14,9,4,14,1,15,14,1,16
Jordi Alba,D/WB/M/AM (L),Barcelona,Spanish First Division,ESP,170,68,30,Left,D (L),CWB,43000000,160000,161,166,16,15,15,15,14,9,16,3,3,10,13,15,1,18,12,12,10,11,6,5,2,13,16,13,13,14,12,12,1,16,15,1,17
Marcelo,D/WB/M (L),R. Madrid,Spanish First Division,BRA,174,80,31,Either,D (L),CWB,40000000,325000,151,166,11,14,18,12,13,11,13,3,1,12,15,12,1,16,11,13,14,13,6,10,2,18,18,13,18,17,13,12,3,13,15,1,13
Naby Keïta,"DM, M (C)",Liverpool,English Premier Division,GUI,172,64,24,Right,M (C),BBM,44500000,120000,155,166,16,15,16,16,14,11,17,1,2,9,14,13,1,17,12,6,12,9,8,7,2,15,13,11,17,11,8,14,1,17,15,3,15
Rayan Aït-Nouri,D (L),Wolves,English Premier Division,FRA,179,70,18,Left,D (L),FB,1000000,4000,124,166,11,13,13,12,13,10,13,1,1,8,13,14,1,14,12,8,7,7,10,10,3,12,14,8,12,14,8,12,1,13,11,3,14
Richarlison,"AM (RL), ST (C)",Everton,English Premier Division,BRA,181,71,22,Either,AM (L),IW,32000000,110000,146,166,16,10,14,8,13,15,16,2,2,12,12,16,1,14,6,8,11,9,11,14,3,14,12,14,15,10,10,12,3,14,14,2,14
Stefano Sensi,"DM, M (C)",Inter,Italian Serie A,ITA,168,63,23,Right,M (C),AP,29000000,55000,152,166,12,15,16,16,11,8,13,1,2,12,16,13,1,15,9,3,15,11,5,5,2,16,16,12,14,13,14,14,1,16,11,3,14
Ángel Correa,"M (R), AM (RLC), ST (C)",A. Madrid,Spanish First Division,ARG,172,67,24,Right,AM (R),IW,40000000,58000,154,165,13,15,17,11,6,10,12,3,1,11,16,14,1,17,5,13,11,10,6,8,4,19,16,13,16,15,13,12,4,16,10,1,14
Amadou Haidara,"DM, M (C)",RB Leipzig,Bundesliga,MLI,175,68,21,Right,M (C),MEZ,6250000,49500,134,165,17,13,15,13,11,12,16,2,2,9,13,12,1,16,10,7,12,9,10,9,3,14,13,10,14,11,10,11,1,14,14,1,14
Andrew Robertson,D/WB (L),Liverpool,English Premier Division,SCO,178,64,25,Left Only,D (L),FB,46500000,80000,157,165,17,14,13,16,15,12,17,3,1,7,14,16,1,15,15,13,8,12,9,10,2,11,15,4,12,16,9,15,1,14,15,3,16
Arne Maier,"DM, M/AM (C)",Arminia Bielefeld,Bundesliga,GER,183,79,20,Right,M (C),DLP,4099999,16500,130,165,14,14,15,17,11,13,14,3,2,10,14,11,1,10,10,6,12,11,10,7,3,9,14,10,13,11,11,12,2,12,10,3,13
Corentin Tolisso,"DM, M/AM (C)",FC Bayern,Bundesliga,FRA,181,78,24,Right,M (C),BBM,33500000,115000,152,165,18,14,14,17,11,15,18,2,2,9,15,13,1,17,12,10,14,11,12,15,3,11,12,13,10,11,8,12,3,13,16,2,14
Dele Alli,"M (C), AM (LC), ST (C)",Tottenham,English Premier Division,ENG,188,80,23,Right,AM (C),AP,49000000,100000,156,165,17,15,15,16,11,12,18,3,2,14,15,12,1,17,10,8,13,7,12,12,3,17,14,15,16,12,8,11,1,15,12,2,11
Eric García,D (C),Man City,English Premier Division,ESP,182,79,18,Right,D (C),BPD,18000000,12000,135,165,15,13,13,14,13,12,14,3,1,6,14,13,1,14,13,8,5,14,12,13,2,12,13,7,12,6,4,15,3,14,12,1,13
Federico Valverde,"DM, M (C)",R. Madrid,Spanish First Division,URU,181,74,20,Right,DM,DLP,28500000,51000,150,165,16,14,14,17,13,15,16,2,1,6,14,13,1,14,12,10,12,13,12,13,1,14,14,11,12,13,13,13,2,13,12,3,14
Fernandinho,"D (C), DM, M (C)",Man City,English Premier Division,BRA,179,67,34,Right,M (C),MEZ,11250000,180000,165,165,18,13,16,17,14,14,14,1,3,15,15,13,1,15,13,6,13,14,11,13,2,10,15,11,13,9,10,18,3,15,15,1,13
Fernando Llorente,ST (C),Napoli,Italian Serie A,ESP,193,90,34,Either,ST (C),TM,2700000,63000,143,165,15,13,15,18,9,17,12,2,2,14,13,10,1,14,8,5,11,14,18,18,2,14,14,13,11,10,7,15,2,10,10,2,9
Ferran Torres,M/AM (R),Man City,English Premier Division,ESP,180,75,19,Right,AM (R),W,20000000,66000,140,165,11,12,14,12,7,11,12,3,1,10,13,15,1,14,6,8,12,10,11,11,3,15,13,14,15,13,12,8,3,14,10,1,17
Geoffrey Kondogbia,"DM, M (C)",A. Madrid,Spanish First Division,CTA,188,80,26,Left Only,M (C),BBM,21500000,105000,146,165,14,13,16,14,16,16,16,2,2,9,15,14,1,13,12,7,16,8,14,14,3,14,15,12,15,11,8,10,2,13,16,1,14
Henrikh Mkhitaryan,AM (RLC),Roma,Italian Serie A,ARM,178,72,30,Right,AM (C),AP,44500000,180000,147,165,14,15,16,15,9,9,13,3,1,11,14,14,1,17,4,6,13,10,8,6,1,14,15,12,15,12,11,9,1,16,16,2,15
Javi Martínez,"D (C), DM, M (C)",FC Bayern,Bundesliga,ESP,190,86,30,Right,DM,A,22500000,99000,149,165,12,12,14,18,16,16,13,2,3,11,13,10,1,10,14,8,10,14,16,13,2,9,14,11,9,10,7,15,2,9,11,2,8
João Cancelo,D/WB/M/AM (R),Man City,English Premier Division,POR,182,74,25,Right,WB (R),CWB,50000000,140000,158,165,13,14,16,12,13,12,14,3,2,11,15,16,1,15,9,13,12,7,11,10,3,18,15,11,17,15,12,10,2,16,12,3,16
Jordan Pickford,GK,Everton,English Premier Division,ENG,187,77,25,Left,GK,SK,24000000,120000,146,165,11,13,14,10,1,13,13,12,16,1,10,8,1,3,3,2,2,14,14,8,14,3,11,1,2,2,10,14,15,16,16,14,8
Lucas Torreira,"DM, M (C)",A. Madrid,Spanish First Division,URU,168,64,23,Right,M (C),DLP,29500000,75000,145,165,17,13,14,18,15,9,16,3,1,11,14,12,1,12,14,5,12,11,6,6,2,14,16,8,13,11,11,14,4,15,16,3,15
Marco Asensio,AM (RLC),R. Madrid,Spanish First Division,ESP,182,76,23,Left,AM (L),W,42500000,140000,151,165,12,15,18,12,8,11,14,3,1,14,16,15,1,12,5,7,18,9,10,8,3,17,17,16,16,15,15,10,1,14,9,1,14
Nemanja Matic,"DM, M (C)",Man Utd,English Premier Division,SRB,194,85,30,Left,M (C),CM,14500000,120000,137,165,13,13,15,17,16,17,14,3,2,12,15,9,1,8,13,10,14,12,16,16,2,4,14,8,11,11,10,15,1,7,12,3,7
Niklas Süle,D (C),FC Bayern,Bundesliga,GER,194,91,23,Right,D (C),CD,51000000,49500,155,165,8,10,10,12,15,18,13,1,3,9,12,17,1,6,15,9,11,12,17,16,3,6,10,8,7,6,4,17,3,9,6,3,12
Pablo Fornals,"DM, M/AM (C)",West Ham,English Premier Division,ESP,178,67,23,Right,AM (C),AP,27500000,80000,142,165,9,15,15,13,14,11,14,2,1,9,16,12,1,14,12,7,12,11,9,8,2,15,16,12,13,14,9,12,3,15,15,4,12
Ricardo Pereira,D/WB/AM (R),Leicester,English Premier Division,POR,175,70,25,Right,D (R),WB,31500000,70000,150,165,16,13,14,15,16,10,15,3,2,12,12,15,1,14,12,7,12,7,9,6,2,13,12,11,14,14,9,12,3,14,11,1,16
Rodri,"DM, M (C)",Man City,English Premier Division,ESP,191,75,23,Right,DM,DLP,44500000,120000,155,165,15,14,14,16,15,13,15,3,1,8,14,13,1,10,12,10,12,11,14,13,3,9,15,7,10,8,8,15,3,12,10,2,13
Rodrigo,"AM (RL), ST (C)",Leeds,English Premier Division,ESP,182,77,28,Left,ST (C),AF,41000000,70000,154,165,13,14,16,12,9,12,14,2,2,13,14,17,1,17,6,5,13,5,14,13,2,14,17,13,15,13,11,9,1,16,12,1,17
Sander Berge,"DM, M/AM (C)",Sheff Utd,English Premier Division,NOR,191,88,21,Right,M (C),DLP,23000000,40000,137,165,14,14,15,14,13,15,15,3,1,12,14,13,1,13,11,6,10,11,13,12,1,10,13,10,12,11,8,14,1,13,12,2,13
Sergi Roberto,"D/WB (R), DM, M (RC)",Barcelona,Spanish First Division,ESP,178,68,27,Right,M (C),BBM,52000000,165000,160,165,17,15,15,17,12,11,17,3,2,12,14,15,1,15,11,10,10,9,9,8,1,13,14,10,13,13,10,14,3,12,11,3,15
Theo Hernández,D/WB/M (L),Milan,Italian Serie A,FRA,184,81,21,Left,D (L),WB,29000000,38000,155,165,14,12,13,12,14,14,15,1,3,9,13,17,1,16,12,10,13,12,10,9,1,12,14,13,16,15,8,12,3,14,13,1,17
Thierry Small,D/WB (L),Everton,English Premier Division,ENG,177,65,14,Left,D (L),CWB,41000,120,75,165,5,7,15,7,10,12,5,4,1,4,7,15,1,1,8,6,7,10,11,7,3,15,12,10,13,9,2,5,3,7,6,2,16
Wesley Fofana,"D (C), DM",Leicester,English Premier Division,FRA,185,76,18,Right,DM,VOL,16250000,57000,138,165,13,12,12,12,14,14,14,2,2,5,12,15,1,12,13,8,11,10,16,15,2,10,12,8,11,9,9,12,1,13,10,3,13
Andreas Christensen,"D (C), DM, M (C)",Chelsea,English Premier Division,DEN,187,81,23,Right,D (C),BPD,0,80000,147,165,12,10,13,15,14,11,13,1,1,9,14,15,1,10,14,12,8,14,14,15,2,9,12,9,10,10,5,13,1,11,12,1,12
Ben Chilwell,D/WB (L),Chelsea,English Premier Division,ENG,178,77,22,Left,D (L),WB,0,140000,146,165,16,12,13,14,13,12,15,1,4,11,12,16,1,11,14,11,7,12,10,12,4,11,13,7,14,12,13,13,4,14,12,2,15
